"date","description","tarrif","usage_kwh","consumption","fuel_cost","ferfa","infa","erc","rep","warma","rounding","vat","total"
"2023-07-15","Wet Vacuum (Charging - 56-100pc SOC)","DC01",0.05,0.61,0.20,0.09,0.01,0.00,0.03,0.00,0.07,0.13,1.00
"2023-07-15","Wet Vacuum (Charging - 56-100pc SOC)","DC02",0.05,0.83,0.20,0.09,0.01,0.00,0.04,0.00,0.33,0.16,1.00
"2023-07-15","Wet Vacuum (Charging - 56-100pc SOC)","DC03",0.05,1.03,0.20,0.09,0.01,0.00,0.05,0.00,0.42,0.20,2.00

"2023-07-15","Laundry - (2kg/800rpm/57Min)","DC01",0.02,0.24,0.08,0.03,0.00,0.00,0.01,0.00,-0.41,0.05,0.00
"2023-07-15","Laundry - (2kg/800rpm/57Min)","DC02",0.02,0.33,0.08,0.03,0.00,0.00,0.02,0.00,0.47,0.07,1.00
"2023-07-15","Laundry - (2kg/800rpm/57Min)","DC03",0.02,0.41,0.08,0.03,0.00,0.00,0.02,0.00,0.38,0.08,1.00

"2023-07-15","Fabric Iron - (Bedset)","DC01",0.07,0.86,0.28,0.12,0.02,0.01,0.04,0.00,0.49,0.18,2.00
"2023-07-15","Fabric Iron - (Bedset)","DC02",0.07,1.16,0.28,0.12,0.02,0.01,0.06,0.00,0.12,0.23,2.00
"2023-07-15","Fabric Iron - (Bedset)","DC03",0.07,1.44,0.28,0.12,0.02,0.01,0.07,0.00,-0.22,0.28,2.00
